vehID,routeKey,class,depart,arrival,travel_time
veh740,-33683346#3->515130025|n=58|h=033f9fe293,veh_passenger,722.0,11118.0,10396.0
veh7251,131671623->985133430|n=23|h=f1039de8c9,veh_passenger,9244.0,11121.0,1877.0
truck362,39874516->-687878722#0|n=43|h=6259d1f2c1,truck_truck,3524.0,11124.0,7600.0
bus2321,-687878725->488788637#0|n=23|h=572eb92730,bus_bus,8717.0,11124.0,2407.0
truck551,-1226645407->-10748045#2|n=42|h=7d01d37e31,truck_truck,5363.0,11130.0,5767.0
veh8475,1298335704#0->1068434256#1|n=20|h=9ca311f200,veh_passenger,8371.0,11130.0,2759.0
bus2459,40036062#1->-178702258#0|n=28|h=1c0d168093,bus_bus,9235.0,11131.0,1896.0
veh3235,1068144845#0->-39838691#6|n=50|h=fc0743104b,veh_passenger,3152.0,11132.0,7980.0
motorcycle1140,50323229#2->-10628444#1|n=34|h=eef4df6366,motorcycle_motorcycle,7397.0,11132.0,3735.0
veh1353,39921025#7->40297885#1|n=30|h=6ed639fefd,veh_passenger,1318.0,11134.0,9816.0
veh6861,1125986373#1->15419875#1|n=26|h=db3611c68a,veh_passenger,6678.0,11134.0,4456.0
bus325,39838657#3->40035606#3|n=40|h=6d8e14f48f,bus_bus,1222.0,11135.0,9913.0
veh10809,424580476->47087993#1|n=6|h=86320a7ba1,veh_passenger,10520.0,11136.0,616.0
truck512,39838691#2->178699051#0|n=29|h=3bf5298476,truck_truck,4984.0,11137.0,6153.0
bus168,279209078->1074409255#1|n=26|h=abbc9d25fb,bus_bus,632.0,11139.0,10507.0
bus979,169562956->-50323229#6|n=29|h=bfad6cb69c,bus_bus,3678.0,11139.0,7461.0
veh8643,521705695->257421487#1|n=28|h=40f5932ece,veh_passenger,8412.0,11139.0,2727.0
veh3919,510107701->39920684#6|n=24|h=a67d07b449,veh_passenger,3815.0,11144.0,7329.0
bus1843,654530820#0->40109290#0|n=63|h=aa4377c66a,bus_bus,6922.0,11146.0,4224.0
bus2146,-449565665#3->1235501861#1|n=20|h=a5b6ec62ab,bus_bus,8060.0,11151.0,3091.0
bus1675,900399276->1204070539|n=36|h=5d48a87995,bus_bus,6291.0,11152.0,4861.0
bus2223,240666072#0->-47267007#2|n=23|h=2783c6d9f2,bus_bus,8349.0,11153.0,2804.0
veh214,40138633#2->178702258#1|n=45|h=82ffd3c644,veh_passenger,210.0,11154.0,10944.0
truck867,1298335705->1324405519|n=30|h=15a5abdca8,truck_truck,9241.0,11154.0,1913.0
veh258,-401226926#0->509646057#2|n=27|h=788c14f9dd,veh_passenger,253.0,11158.0,10905.0
motorcycle1333,499566577#1->490474063#7|n=17|h=7ca7c1edd7,motorcycle_motorcycle,8649.0,11158.0,2509.0
bus1840,424580475->515130028#0|n=16|h=69e61f9c2f,bus_bus,6911.0,11159.0,4248.0
motorcycle1718,1237953495->15420801#3|n=5|h=b07d6f0af7,motorcycle_motorcycle,11147.0,11161.0,14.0
motorcycle358,-14924729#3->515126385#2|n=13|h=e74aa44cd0,motorcycle_motorcycle,2465.0,11167.0,8702.0
bike1286,116783841->1260481150|n=9|h=114d83a684,bike_bicycle,9123.0,11167.0,2044.0
motorcycle994,240666072#1->509524227#1|n=10|h=54ebcf216a,motorcycle_motorcycle,6450.0,11168.0,4718.0
bike1092,-1408949234->-8758061|n=14|h=04ff06eb88,bike_bicycle,7747.0,11171.0,3424.0
veh8113,-39838691#9->178702258#2|n=17|h=12bb3f666c,veh_passenger,7896.0,11171.0,3275.0
veh4908,10725667->1222703384#1|n=19|h=e2d31dd952,veh_passenger,4777.0,11172.0,6395.0
bus1343,-1260485929#1->-1235501862|n=26|h=6a83548546,bus_bus,5045.0,11172.0,6127.0
bus559,-1297720376#0->1064398309#1|n=20|h=416e3d249a,bus_bus,2101.0,11174.0,9073.0
truck405,475044040#0->1118804256#1|n=45|h=2361ce38c2,truck_truck,3942.0,11175.0,7233.0
bus1721,1196008692#0->40138941#1|n=28|h=cea3507d4e,bus_bus,6464.0,11175.0,4711.0
bus1627,39838520#2->-240666072#0|n=32|h=0c4ef8e122,bus_bus,6111.0,11176.0,5065.0
veh6589,-10250021#3->39838630#1|n=17|h=1f1a2497d1,veh_passenger,9399.0,11176.0,1777.0
veh10759,654530820#0->1067953246|n=11|h=9371b8099e,veh_passenger,10471.0,11176.0,705.0
veh11459,428730800->428730800|n=1|h=c01a3e94f2,veh_passenger,11152.0,11176.0,24.0
veh9208,-238219449->488788626#1|n=25|h=e32ffef5b7,veh_passenger,8962.0,11177.0,2215.0
truck292,-687878725->40138941#1|n=45|h=853ac59207,truck_truck,2843.0,11178.0,8335.0
bus1022,-1067928307#3->-424580476|n=26|h=504f7c573d,bus_bus,3839.0,11179.0,7340.0
veh10310,1260481153->-1074409256#2|n=20|h=094511f2b4,veh_passenger,10034.0,11179.0,1145.0
veh9438,-1068144845#0->-1068144849#0|n=12|h=6f661f5d46,veh_passenger,9395.0,11182.0,1787.0
motorcycle602,-1273251150#1->1064476622#1|n=8|h=3f676f2891,motorcycle_motorcycle,3908.0,11183.0,7275.0
veh2470,1323097579#0->-1068144849#0|n=46|h=704ae8b391,veh_passenger,2405.0,11184.0,8779.0
veh11488,47267014->47267014|n=1|h=702bb393a2,veh_passenger,11180.0,11184.0,4.0
bus322,511187808#3->50323229#7|n=64|h=3cf7f43b9f,bus_bus,1211.0,11186.0,9975.0
veh5288,450616334#1->1421367925|n=28|h=a443982405,veh_passenger,5151.0,11190.0,6039.0
bike1407,488786531->-1068144849#1|n=8|h=affcfa6342,bike_bicycle,9981.0,11191.0,1210.0
bus1842,-39838751#0->-401226926#1|n=23|h=765fa1d40e,bus_bus,6918.0,11193.0,4275.0
veh8724,40140141#2->-451728952#3|n=29|h=26a421617e,veh_passenger,8491.0,11194.0,2703.0
bike1273,490210594#0->-757497649|n=6|h=9b104ca38f,bike_bicycle,9031.0,11194.0,2163.0
bus2381,1298335704#1->-1068144849#0|n=24|h=661b9ca4c2,bus_bus,8942.0,11195.0,2253.0
veh6427,-413789558#1->39921192#0|n=37|h=2c376f4f26,veh_passenger,6256.0,11196.0,4940.0
motorcycle1252,1196008692#0->474143552#2|n=11|h=b175f230b2,motorcycle_motorcycle,8124.0,11196.0,3072.0
veh7320,488788637#1->9833223|n=34|h=e7fdda86c2,veh_passenger,7159.0,11198.0,4039.0
veh8197,-39838751#2->-424580476|n=31|h=24372f62ec,veh_passenger,7978.0,11198.0,3220.0
