routeKey,class,TT_freeflow
488788627->40138239#3,veh_passenger,44.0
10748045#1->-40036009#0,veh_passenger,101.0
-1068434202->-47087366#2,veh_passenger,148.0
-1335304371->-1335304377,veh_passenger,117.0
1231065653->-1074409256#0,veh_passenger,186.0
-143546557->10628444#2,veh_passenger,81.0
666886086#3->1074771163#0,veh_passenger,155.0
39838984#0->1125986379#0,veh_passenger,82.0
-968332509->654297632#0,veh_passenger,77.0
160078084->8887999#1,veh_passenger,181.0
-511187818->-10748036,veh_passenger,102.0
1068434202->10250021#0,veh_passenger,96.0
39838630#1->-1068144849#1,bus_bus,298.0
10628442#1->-50323229#2,veh_passenger,308.0
10628442#1->-50323229#2,truck_truck,317.0
40138239#2->-1125986406#0,veh_passenger,208.0
509646052->47225638#1,veh_passenger,135.0
1214520068->-1074409256#0,bus_bus,95.0
511187811->240666069#3,veh_passenger,229.0
24576913#1->515126385#2,veh_passenger,139.0
-509646056->1064476622#1,veh_passenger,255.0
424580475->39921672,veh_passenger,374.0
515123438->-1326193809,veh_passenger,367.0
509646057#1->33683458#1,veh_passenger,302.0
-1332638391#1->-1131969257,veh_passenger,135.0
513272949->-1297720368,bus_bus,219.0
488788633#0->-10628442#2,veh_passenger,363.0
-50323229#13->24621218#2,veh_passenger,371.0
-1297720367->-521705694#0,veh_passenger,284.0
39920550#0->1214520073#1,veh_passenger,194.0
1335304386#1->-40297715#3,veh_passenger,91.0
488788629->428730793#1,veh_passenger,333.0
40140141#8->39920593#4,bus_bus,307.0
50323229#13->39838630#2,veh_passenger,332.0
11631594#1->-479863106#1,veh_passenger,286.0
838061038->511404873#1,veh_passenger,163.0
9832326#0->15420801#3,veh_passenger,176.0
39920505#2->178583159,veh_passenger,427.0
-900279869->-654297633,veh_passenger,235.0
-401226926#1->1196008691#1,veh_passenger,297.0
424580475->39921672,truck_truck,355.0
-238219441#2->1254633077#0,veh_passenger,171.0
-968332509->39920505#1,veh_passenger,179.0
39920505#11->39366819#1,veh_passenger,327.0
511409856#1->-8887999#2,veh_passenger,167.0
-488786523->232920701,bus_bus,71.0
513082635#0->509524227#0,veh_passenger,117.0
-1015424648->1068434257,veh_passenger,148.0
-33683458#1->-50323229#5,veh_passenger,61.0
39921192#1->178583140#1,veh_passenger,232.0
-488788630#0->654297637#2,veh_passenger,322.0
-482569917#0->1326094888,bus_bus,247.0
451728952#5->178583148#0,veh_passenger,204.0
1074771163#1-AddedOffRampEdge->24621218#1,veh_passenger,93.0
-654297637#0->-488788633#0,bus_bus,507.0
513082632->666886084#0,veh_passenger,177.0
178699058->40035904#2,veh_passenger,398.0
-1254633077#0->1204070281,veh_passenger,350.0
-488788633#2->-39838691#3,veh_passenger,110.0
-238219441#0->39838691#7,veh_passenger,369.0
1254816442->14924729#0,veh_passenger,177.0
1068144846#2->-1222703384#1,veh_passenger,249.0
513082623->1068434201,veh_passenger,425.0
515136608->513082627,veh_passenger,315.0
515123438->-1326193809,truck_truck,414.0
1214520075->1074771170,veh_passenger,97.0
1231065653->-1074409256#0,truck_truck,304.0
1214520074#2->-50323229#10,veh_passenger,428.0
-1326094888->1332638368#0,veh_passenger,270.0
-513272949->-50323229#11,veh_passenger,196.0
1067953239#1->39920011#3,veh_passenger,332.0
-1068434202->-47087366#2,truck_truck,197.0
474143552#4->1234244925#0,veh_passenger,417.0
511187808#4-AddedOnRampEdge->-1260485929#3,veh_passenger,187.0
-653860562->39921025#2,veh_passenger,181.0
47087366#0->-39838657#3,veh_passenger,269.0
475044040#2->40035904#1,bus_bus,167.0
-1260485929#1->47087366#1,veh_passenger,307.0
-40139708->428730793#0,veh_passenger,554.0
1323097575#1->178699051#1,veh_passenger,315.0
1214520074#5->-12247568#1,veh_passenger,101.0
-1260485930#1->39838882,veh_passenger,269.0
178583167#1->-1204070283#1,veh_passenger,154.0
-47267007#2->1068144849#2,veh_passenger,310.0
1233759524->-488788630#1,veh_passenger,330.0
488788630#0->-449565665#1,veh_passenger,237.0
-1067928305#0->40297885#1,veh_passenger,479.0
-1335304385->1236283454,veh_passenger,234.0
-1068916335->-449565665#1,bus_bus,414.0
654297629#0->238219446#0,veh_passenger,259.0
47223733->160077493,veh_passenger,434.0
