routeKey,class,TT_freeflow
-10250021#3->405382146#1|n=28|h=5836de08e6,motorcycle_motorcycle,16570.0
-10250021#3->428730793#0|n=43|h=33c7be410e,veh_passenger,16742.0
-10250021#3->488788626#2|n=19|h=11b6dcb4c7,veh_passenger,2655.0
-10250021#3->490474063#0|n=26|h=da91b6d123,veh_passenger,2600.0
-10250021#3->50323229#0|n=45|h=6ca803f4bb,truck_truck,3533.0
-10250021#3->513087668|n=17|h=6c856f5c83,veh_passenger,6362.0
-10250021#3->515126304|n=33|h=b1d44379ed,veh_passenger,18835.0
-10250021#3->521705695|n=27|h=36a1f80881,veh_passenger,15439.0
-10250021#4->-1273251151|n=29|h=2b934ae993,bus_bus,2785.0
-10250021#4->-1290439817#0|n=16|h=6080619d74,veh_passenger,7668.0
-10250021#4->-1290439817#1|n=15|h=8b30ef993a,motorcycle_motorcycle,7546.0
-10250021#4->-39838657#0|n=34|h=451aee7c40,motorcycle_motorcycle,24379.0
-10250021#4->-39838691#8|n=30|h=7e4cbefa0b,veh_passenger,6813.0
-10250021#4->-40035904#0|n=24|h=8ae7e79a70,veh_passenger,3852.0
-10250021#4->-449565665#1|n=20|h=1a8a6d37b4,veh_passenger,4101.0
-10250021#4->-47224972#1|n=18|h=d50c9cc19b,motorcycle_motorcycle,10240.0
-10250021#4->1064476622#1|n=26|h=0a82c871d4,truck_truck,4829.0
-10250021#4->1068434203|n=20|h=e78a4543f2,veh_passenger,3853.0
-10250021#4->1100626097|n=35|h=e22c1dc5d0,veh_passenger,7097.0
-10250021#4->1204070281|n=16|h=10b2150b5d,veh_passenger,10501.0
-10250021#4->1204070283#1|n=12|h=7c29725a81,veh_passenger,3652.0
-10250021#4->1324405519|n=20|h=b42dad6f1f,truck_truck,3484.0
-10250021#4->15420801#1|n=12|h=7c8d6acf63,veh_passenger,3650.0
-10250021#4->178441748#0|n=29|h=443ad07e43,veh_passenger,6119.0
-10250021#4->178702258#1|n=18|h=a434ba176d,bus_bus,2437.0
-10250021#4->178702258#1|n=18|h=a434ba176d,veh_passenger,6153.0
-10250021#4->39838657#3|n=29|h=180bfc4865,bus_bus,5227.0
-10250021#4->39838691#5|n=32|h=792702f2bd,truck_truck,7112.0
-10250021#4->39920593#1|n=28|h=8e375429f0,motorcycle_motorcycle,8853.0
-10250021#4->39920593#3|n=22|h=db84488e2e,veh_passenger,2619.0
-10250021#4->39921192#0|n=16|h=3269c5bb3c,veh_passenger,3539.0
-10250021#4->47087993#5|n=30|h=6a643b6624,veh_passenger,9016.0
-10250021#4->47267007#0|n=38|h=7f4a0737c7,veh_passenger,14426.0
-10250021#4->511187808#3|n=23|h=45abe35a6e,veh_passenger,2805.0
-10250021#4->515130028#0|n=29|h=6bd1c2bb72,bike_bicycle,19651.0
-10250021#4->515130028#1|n=34|h=591c6e876d,bus_bus,3781.0
-10250021#4->515136607|n=32|h=a147ae922c,bus_bus,4810.0
-10628429->-10628442#0|n=6|h=0b20c7f075,motorcycle_motorcycle,6479.0
-10628429->-1064476625|n=23|h=56754051c7,bus_bus,7453.0
