vehID,routeKey,class,depart,arrival,travel_time
bus4088,666886084#0->15419875#0|n=14|h=4937ba291a,bus_bus,1537.0,3566.0,2029.0
bus1707,-1067953246->1211151635#1|n=20|h=ff1d372990,bus_bus,642.0,3567.0,2925.0
bus2581,1255099064->9792174#1|n=16|h=1df0e5ae79,bus_bus,971.0,3567.0,2596.0
bike5024,116783776#0->116783776#0|n=1|h=0f58ec4ed6,bike_bicycle,3565.0,3567.0,2.0
veh21653,515136607->47225638#1|n=10|h=cbb8c64957,veh_passenger,2109.0,3568.0,1459.0
bus104,10250021#0->474143552#1|n=22|h=dd4da86c0f,bus_bus,41.0,3569.0,3528.0
veh13004,654297631->1332638368#0|n=20|h=86ff36576f,veh_passenger,1375.0,3570.0,2195.0
truck1367,1075505400#0->-39920593#4|n=37|h=8b3eced3e8,truck_truck,1332.0,3570.0,2238.0
veh3199,509646057#0->521704042#0|n=26|h=fd05881dd2,veh_passenger,313.0,3571.0,3258.0
veh10698,1068434201->-488788629|n=31|h=decd6e3524,veh_passenger,1043.0,3572.0,2529.0
bus1259,381945549#1->1068144846#1|n=21|h=4717cf5b34,bus_bus,474.0,3573.0,3099.0
veh36661,178583153->178583153|n=1|h=ced557abba,veh_passenger,3569.0,3574.0,5.0
bike5037,-116831881#7->-116831881#7|n=1|h=fa3d5229f8,bike_bicycle,3574.0,3575.0,1.0
veh556,666886086#1->488788626#3|n=15|h=32d2f1707d,veh_passenger,56.0,3576.0,3520.0
veh408,-33683458#0->-40035904#0|n=14|h=cec1243f46,veh_passenger,41.0,3578.0,3537.0
bus3338,39921025#0->1214520076|n=22|h=6c0d5170f0,bus_bus,1256.0,3579.0,2323.0
bus1509,40138239#0->-449565665#3|n=44|h=a3af1c334a,bus_bus,1490.0,3580.0,2090.0
bus3136,39921025#9->-1125986406#1|n=24|h=5ef1957d9a,bus_bus,1179.0,3580.0,2401.0
veh2066,1222181937->-1068916338|n=18|h=9529049a3a,veh_passenger,203.0,3582.0,3379.0
veh12348,39838630#3->-1297720368|n=22|h=a5bf6567b3,veh_passenger,1203.0,3582.0,2379.0
veh2367,39763700#0->47157282#1|n=21|h=1a6c23fc40,veh_passenger,232.0,3583.0,3351.0
veh4702,513272949->39838657#3|n=13|h=69d8ff458d,veh_passenger,2817.0,3583.0,766.0
bike5038,485210070->485210070|n=1|h=2db9937f89,bike_bicycle,3575.0,3583.0,8.0
motorcycle609,-40109290#3->-1222703383|n=23|h=9cd43440d9,motorcycle_motorcycle,397.0,3584.0,3187.0
veh3303,150928465->39838630#2|n=15|h=81a35c6b83,veh_passenger,323.0,3584.0,3261.0
bus686,515123442#2->-1074771160|n=19|h=910bc248c0,bus_bus,259.0,3585.0,3326.0
bike3405,1211978026#0->1211978032#1|n=8|h=8d35ae6ba0,bike_bicycle,2417.0,3586.0,1169.0
bus653,40138941#0->654297631|n=15|h=9a65f67779,bus_bus,247.0,3587.0,3340.0
veh11938,15419906#0->479863106#0|n=21|h=3ce23c4f14,veh_passenger,1455.0,3587.0,2132.0
bus11,-1335304371->510107701|n=26|h=b1912ae812,bus_bus,6.0,3591.0,3585.0
veh1377,967985512->1068434202|n=18|h=0bac44a5e9,veh_passenger,137.0,3591.0,3454.0
veh4628,1335304376#0->10250021#0|n=13|h=5b2e2b4f20,veh_passenger,452.0,3591.0,3139.0
truck1019,1068144848#0->-654297631|n=24|h=d6c0192045,truck_truck,993.0,3591.0,2598.0
veh4032,1335304373#2->509646144|n=20|h=2fbdec6861,veh_passenger,394.0,3593.0,3199.0
veh2378,39838691#3->-40035325#1|n=33|h=c0ef3f4b86,veh_passenger,233.0,3594.0,3361.0
veh9629,1337646270->511409187|n=15|h=9110ab09fe,veh_passenger,938.0,3597.0,2659.0
veh12801,257421487#0->1125986373#1|n=19|h=2b3abd607a,veh_passenger,1247.0,3597.0,2350.0
bus740,515138054->257421487#1|n=36|h=6de8bc69a4,bus_bus,279.0,3598.0,3319.0
bike1173,116837676->40138239#3|n=4|h=cd905f9d5b,bike_bicycle,833.0,3598.0,2765.0
motorcycle261,39838691#10->-39838691#3|n=8|h=1b1b6e173f,motorcycle_motorcycle,171.0,3600.0,3429.0
bus677,39838691#2->40140141#8|n=32|h=d4887f8d9c,bus_bus,257.0,3602.0,3345.0
truck427,-50323229#14->-654297632#0|n=36|h=1b4fd9a3e5,truck_truck,857.0,3603.0,2746.0
bike3858,-116837540#3->-116837540#3|n=1|h=5ca52982ef,bike_bicycle,3597.0,3603.0,6.0
veh3326,13866211->47225638#4|n=12|h=5bfb96f88b,veh_passenger,364.0,3604.0,3240.0
truck678,40035904#1->1214520074#0|n=36|h=d281507984,truck_truck,661.0,3604.0,2943.0
veh8754,488788637#0->513087668|n=14|h=5716f3a10a,veh_passenger,853.0,3606.0,2753.0
bus4072,-654297634->39920550#11|n=31|h=4fc08b778e,bus_bus,1531.0,3606.0,2075.0
bus1837,40140141#0->15419875#1|n=29|h=3ceba25ac9,bus_bus,691.0,3607.0,2916.0
veh2565,10725667->654297637#2|n=35|h=38714d4e00,veh_passenger,251.0,3609.0,3358.0
veh4368,39920505#2->9374529#1|n=11|h=343d6e5a3d,veh_passenger,427.0,3609.0,3182.0
veh6008,39838657#2->511187808#0|n=14|h=6c55977421,veh_passenger,590.0,3610.0,3020.0
veh15222,511187812->654297631|n=15|h=31f8f80115,veh_passenger,1483.0,3611.0,2128.0
